../2018-01-22__export__K1024-5_K1024-6_K1024-7_K1024-8_K1024-9_K1025-5_K1025-6_K1025-7_K1025-8_K1025-9_K1026-5_K1026-6_K1026-7_K1026-8_K1026-9_K1067-3_K1067-4_K1067-5_K1067-6_K1067-7_K1068-3_K1068-4_K1068-5_K1068-6_K1068-7_/fastq2/IGH_FR2_output_v1.3.3_automated/index014_014.fastq	Total count	140984
raw count														%total reads
	IGHJ1_01	IGHJ2_01	IGHJ3_01	IGHJ3_02	IGHJ4_01	IGHJ4_02	IGHJ4_03	IGHJ5_01	IGHJ5_02	IGHJ6_01	IGHJ6_02	IGHJ6_03	IGHJ6_04		IGHJ1_01	IGHJ2_01	IGHJ3_01	IGHJ3_02	IGHJ4_01	IGHJ4_02	IGHJ4_03	IGHJ5_01	IGHJ5_02	IGHJ6_01	IGHJ6_02	IGHJ6_03	IGHJ6_04
IGHV1-18_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-18_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-18_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-18_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-18_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-18_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-2_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-2_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-2_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-2_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-2_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-2_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-2_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-2_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-2_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-2_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-24_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-24_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-3_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-3_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-3_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-3_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-45_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-45_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-45_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-45_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-45_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-45_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-46_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-46_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-46_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-46_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-46_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-46_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-58_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-58_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-58_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-58_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_11	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_11	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_12	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_12	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69_13	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-69_13	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-8_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-8_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-8_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-8_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-c_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-c_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-f_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-f_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-f_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1-f_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-1_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-1_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-1_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-1_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-1_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-1_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-5_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-5_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-5_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-5_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR15-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR15-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1/OR21-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV1/OR21-1_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-26_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV2-26_01	0	0	0	0	0	0	0	0	0	0	0	0	0
